"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106"
"Mast cells",0,0,0.0544666666666667,0.00905999999999996,0.0576733333333334,0.00104333333333329,0,0.0301633333333333,0.0865899999999999,0.0181266666666666,0.485996666666667,0.0231666666666667,0.10149,0.000876666666666637,0.0758766666666667,0.01497,0.0152166666666667,0,0,0.240143333333333,0.00363333333333338,0.350773333333333,0.000736666666666719,6.66666666671034e-06,0.0424099999999999,0.00915333333333335,0.00141000000000002,0.00175333333333338,0.0640266666666667,0.10526,0.18088,0,0.0246,0.00155000000000005,0.000303333333333322,1,0.0773333333333334,0.00382000000000005,1.66666666666648e-05,0.00184333333333331,0.04377,0.0255433333333334,0.0190399999999999,0.0222599999999999,0.00971666666666671,0.951996666666667,0,0.0173566666666667,0.0429433333333333,1,0.00346999999999997,0,0.104256666666667,0.177456666666667,0,0.000160000000000049,0,2.33333333333752e-05,0,0.00591333333333333,0,0.0492366666666667,0.0150233333333334,0.00102000000000002,0.00529666666666662,0,0.02857,0.000496666666666701,1,0.00192333333333339,0.0185966666666667,0.00643333333333329,0,0.00371999999999995,0,0.197306666666667,0,0.00568000000000002,0.00539666666666672,0.0132666666666666,0.0206133333333334,0.0823766666666667,0.000153333333333339,0.0969466666666666,0.0219200000000001,0.00900999999999996,0.000360000000000027,0.56088,0,0.16301,0.00961333333333336,0,0.09067,0.0502933333333333,0.00652666666666668,0,0.04501,0,0.15796,0.109363333333333,0.03616,0.014,0.0373833333333333,0.0114633333333334,0.231716666666667,0.23206
"pDC",0,0.0035466666666667,0.722653333333333,0.414793333333333,0.892096666666667,0,0.959653333333333,0,0,1,0,0.60967,0,0,0,0,0,1,0,0,0.00888,0,1,1,0,0,0,0.00708333333333333,0,1,0,0.0591033333333333,0,1,0.05023,0.0604366666666667,0.18229,0.0490066666666666,0.89227,0.0129666666666667,0,0.0071566666666667,0.134456666666667,0.352543333333333,0.0494733333333334,1,1,0,0,0.51062,0,0,0,0,0.04735,0.126706666666667,0,0.0552733333333333,0.0415333333333333,0.00681333333333334,0,0.0848533333333333,0,0,0.00612999999999997,0,0.329236666666667,0,0.11295,0.05157,0,0.04196,1,0.0769066666666667,0,0.0180833333333333,0.00229666666666661,0,0,0,0.07106,0.0140266666666666,0.132566666666667,0,0,0,0,0,0,0.0127266666666667,0.117763333333333,0,7.9999999999969e-05,0.26622,0,0,0.01107,0,0,0.0247366666666666,0.220976666666667,0,0,0,0.518226666666667,0
"Monocytes",0.02357,0.07903,0.201396666666667,1,0.57856,0.0414533333333333,0.228646666666667,0.158783333333333,0.1094,0.0973433333333333,0.401876666666667,0.04025,0.385516666666667,0,0.748546666666667,0.00666333333333335,0.0452133333333333,0.07827,0.0916766666666666,1,0.0154566666666667,0.0679066666666667,0.0927566666666667,0.523493333333333,0.26288,0.01435,0.0974666666666667,0.0699133333333334,1,1,1,0.08095,0.11428,0.154866666666667,0.0955066666666666,1,0.0441833333333334,0.0529500000000001,0.102786666666667,0,1,0.0891999999999999,0,0.0476066666666667,0.04106,1,0.396316666666667,0.0237466666666667,0.00176666666666669,0.29727,0.0675833333333333,0.0728133333333333,0.617503333333333,0.04865,0.0667033333333333,0.0850633333333334,0.07226,0.13121,0.0862033333333333,0.00195666666666672,0.02518,0.1754,0.04097,0.347193333333333,0.0271766666666666,0.0217833333333334,0.0678266666666667,0.12343,1,0.0580633333333334,0.0569233333333333,0.28401,0.0625966666666666,0.11823,0,0.111723333333333,0.0296933333333333,0.04774,0.119016666666667,0.0254533333333333,0.0257566666666666,0.116573333333333,0,0.106096666666667,0.01246,0.119316666666667,0.0533533333333334,1,0.1028,0.0826533333333334,1,0.0115433333333333,0.111753333333333,0.0676066666666667,0.0433833333333333,1,1,0,0.358393333333333,0.0502766666666666,0.133066666666667,0.13808,0,0.00746000000000002,0.319393333333333,0.0909333333333333
"aDC",0,0,0.02579,0,0.320056666666667,0,0,0,0.000776666666666648,0.441163333333333,0.00775666666666663,0,0,0,0.00605999999999995,0,0,0.000439999999999996,0,0,0,0,0.00488999999999995,0,0,0,0,0,0,0.715163333333333,0,0,0,0,0.00247333333333333,0.000273333333333348,0.272146666666667,0,0,0,0.00149999999999995,0.0103033333333333,0,0,0,1,1,0,0,1,0,0,0.00138000000000005,0.000776666666666648,0,0.151153333333333,0,0,0,0,0,0.11826,0.00644999999999996,0,0,0,0.0013333333333333,0,0.0119666666666667,0,0,0.0419633333333334,0.00266333333333335,0.000720000000000054,0,0.00198666666666669,0,0,0,0,0,0.00276333333333334,0.0569766666666667,0.0229633333333333,0,0,0.00926666666666665,1,0,0.000240000000000018,1,0,0,0,0,0,0.19713,0,0,0.79535,0.12602,0,0,0,0.22864,0
"Chondrocytes",0,0.3777,0,0,0,0,0,0.0115066666666667,0.03408,0,0.08875,0,0,0,0.636813333333333,0,1,0.00285666666666662,0,0,0.00644333333333336,0,0,0,0.33131,0,1,0,0,0,1,0,0,0,0,0.0410700000000001,0.0193066666666667,0,0.0298566666666666,0,0.01591,0,0,0,0,1,0.00183333333333335,0.000753333333333384,1,0,0.03282,0,0.0769933333333334,0.0206466666666667,0,1,0,0,0,0.0917366666666667,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0362833333333333,0.0351066666666666,0,0,0.00788666666666671,0,0,0,3.66666666666848e-05,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0.21966,0,0,0,0,0,0,0.47236
"Endothelial cells",0.000279999999999947,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.24335,0,0.03222,1,1,0.00356999999999996,0,0,0,0,1,7.66666666666138e-05,0,0,0.000883333333333347,0,0,0,0,1,0,0,0,0.00253000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.01901,0,0,0,0,0.000156666666666694,0,0,0,0,0.00976333333333335,0,0,0,0,1,0,1,0,0.00209333333333328,0,0,8.33333333333242e-05,0,0.34183,0,0,0,0,0,1,0.0178833333333334,0,6.66666666671034e-06,0,0,0,0
"Fibroblasts",0,0,0,0,0.0188,0,0,0.147936666666667,0,0,0,0,1,0,0.0243333333333333,0.00901666666666667,1,0.0122133333333333,0,0,0.00509666666666664,0.00118666666666667,0,0,0.595833333333333,0.108223333333333,0,0.485796666666667,1,0,1,0,0.01857,0.0504466666666666,0,0.36338,0.00385999999999997,0.08268,0.562243333333333,0.01058,0,0,0,0.472596666666667,0.155813333333333,1,1,0.345633333333333,1,0.0786233333333334,1,0,1,0,0.000229999999999952,0.621263333333333,0,0,0,0,0.144803333333333,0,0,9.66666666666338e-05,0,0,0.376386666666667,0,1,0.00200333333333336,0,0.0131433333333333,0.316103333333333,0.00429999999999997,0.142116666666667,0,0,0,0.156883333333333,0.01119,0,0.0741466666666667,0,1,0.20151,0.0195333333333333,0.0246266666666667,1,0,1,0.13176,0,0,0,0,0,0,1,0.145886666666667,1,0,1,0.000340000000000007,0,0.34443,0.00980000000000003
"ly Endothelial cells",0.966046666666667,0.00570666666666664,0,0,0,1,0,0,0.175823333333333,0,0.852086666666667,0,0.217753333333333,0.352313333333333,0,0,1,0.09512,0,0,1,1,0,0,0,0,0.0271766666666666,0.735483333333333,0.0225066666666667,0.525336666666667,0,0,0.0431733333333333,0,0,0.0327333333333333,0.0753033333333334,0,0,0,0.00105999999999995,0,0,0.0348166666666667,0,0.00904000000000005,0,0.439333333333333,0,0,0,0,0.66904,0.0414099999999999,0,0.185256666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.288166666666667,0,0,0,0.00252666666666668,0.0900466666666667,0,0,0,0,0,0.0216133333333334,0,1,0,0.298236666666667,0,0,0,0,0.16251,0,0.280256666666667,0,0,0.175826666666667,0,0.0487366666666667,0.35585,0,0,0.11591,0,0.20954,0,0
"mv Endothelial cells",0.0935866666666667,0,0,0,0,1,0,0,0,0,0,0,0.320743333333333,0.00195000000000001,0,0,0,0,0,0,0,0.572526666666667,0,0,0,0,0,0.01837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117503333333333,0,0,0,0,0,0,0,0,0,0.0765166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705833333333333,0.00160333333333329,0,0,0,0,0.00863000000000003,0,0,0,0,0,0,0
"Megakaryocytes",0,0,0,0.0162533333333333,0,0,0.000210000000000043,0,0.00770000000000004,0,0,0.0317333333333333,0.00924000000000003,0.01573,0,0,0,0,0,0.170626666666667,0,0.0566866666666667,0.21727,0,0.00127333333333335,0.03094,0.239233333333333,0,0,0.328456666666667,0.376413333333333,0,0,0.00605999999999995,0,0.596526666666667,0.420563333333333,0.000393333333333357,0.00314999999999999,0,0.129096666666667,0.00225333333333333,0.0469533333333333,0.20127,0,0.101406666666667,0.0147,0,0.03867,0.0360066666666666,0.03773,0.06026,0.0260033333333334,0.01544,0,1,0,0.00463666666666662,0,0.0651133333333334,0,0.000416666666666621,9.99999999995449e-06,0.12206,0,0,0,0,0.158956666666667,0,0.128123333333333,0,0,0,0.115606666666667,0,0.0133966666666666,0,0.113953333333333,0.130733333333333,0.000196666666666623,0.142273333333333,0,0.474306666666667,0,0.616663333333333,0,0,0,0.00396333333333332,0,0,0,0,0.00155000000000005,0.655976666666667,0.000796666666666668,0.34483,0.513143333333333,0.11746,0,0.0248433333333333,0.00890333333333337,0.00422333333333336,0.05984,0.02501
"Smooth muscle",1,1,1,1,1,0.565,1,0.183646666666667,0.22307,1,0.16496,1,1,0.468296666666667,0.119093333333333,1,0.312706666666667,1,1,1,1,0.26185,1,1,1,1,0.55186,1,0.684913333333333,1,0.304603333333333,1,1,1,1,0.335223333333333,0.207136666666667,1,1,1,1,0.487633333333333,1,1,1,1,1,0.39129,1,0.49711,1,1,0.382523333333333,0.198763333333333,1,1,1,1,1,1,1,1,1,0.171923333333333,1,1,1,1,1,1,1,1,1,0.556193333333333,1,0.57805,1,1,1,0.887193333333333,1,1,1,1,1,0.659743333333333,0.626986666666667,1,1,1,1,1,1,1,1,0.26881,1,1,0.01228,1,0.813953333333333,0.317186666666667,1,1,1,1
"Pericytes",0.517823333333333,0.0122466666666666,0,0,0,0,0,0.03185,0.711736666666667,0,0,0,0,0.000886666666666702,0.01428,0,0,0,0.00274666666666668,0,0.00334333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297226666666667,0.538076666666667,0,0,0,0,0,0,0,0.02221,0,0,1,0.12212,0,0.0643033333333334,0,0,0,0,0,0,0,0,0.0166566666666667,0,0,0,0,0.00502999999999998,0,4.99999999999945e-05,0,0,9.99999999995449e-06,0,0,0.00316000000000005,0,0,0,0,0.10381,0.00606333333333331,0.0193866666666667,0,0,0,0.01152,0.0269200000000001,0.70006,0.421166666666667,0.0290133333333333,0,0.0290733333333333,0,0,8.33333333333242e-05,0,0.00144666666666671,0,0,0.0181266666666666,0.000533333333333386,0,9.99999999995449e-06,0.287526666666667,0.229436666666667,0.0631766666666667,0,0.84044
"Preadipocytes",0,0.00839333333333336,1,0,0.434996666666667,0,1,0,0,1,0,1,0,0,0.00353666666666663,0,0.51448,1,0,1,0.0821333333333333,0,1,1,1,1,0.252253333333333,0.161896666666667,1,1,1,0.00880333333333339,1,0.409463333333333,0.538123333333333,0,0.000463333333333371,1,1,0,0,1,0,0.974786666666667,1,1,1,0.335596666666667,0,1,1,0.405603333333333,0.45094,0,0,0,0,0.157016666666667,0,0.0381966666666667,0.00136666666666663,0,0,1,0.0102966666666666,0.0174533333333333,0,0,0,0,0.127916666666667,0,0,0.148766666666667,0.106916666666667,0,0.0677333333333333,0,0,0,1,0,0.0851,0.56383,0,0.0168233333333333,0,0,0.0473233333333334,0,0,0,0.0151333333333333,0.00656333333333337,0,0.02563,0,0,0.0459066666666667,0,0,0,0,1,0,0
"Adipocytes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10198,0,0,0,1,0.0191866666666667,0.0567666666666666,0,0,0.0239966666666667,0,0,0,0,0,0,0,0,0,1,0,0.46583,0,0.24551,0,0,0.667433333333333,0,0,0,0,0.559706666666667,0,0,0,0,0,0,0,0.203256666666667,0,0,0,0,0.188546666666667,0,0,0,0,0,0.41942,0,0,0,0,0.129166666666667,0,0.2354,0,0,0,0.0799,0,0.000299999999999967,0,0,0.000166666666666648,0,0.00873000000000002,0,0.00168666666666661,1,0.00217666666666672,0.538126666666667,0,0,0,1,0,0,0.0270466666666667,0
"MSC",0.592553333333333,0.0848066666666667,9.66666666666338e-05,0,0.0143133333333333,1,0,0.879243333333333,0,0.07816,0.360316666666667,0.176543333333333,0.0354066666666667,0.36538,0.322386666666667,0.00817666666666672,0,0,0,0,0.12641,0.0606533333333333,0.00713333333333332,0,0.02517,0.210566666666667,0.00527333333333335,0.0396533333333333,0,0,0,0,0,0,0,0.477193333333333,0.00401666666666667,0.114976666666667,0.06485,0,0.00982000000000005,0.0781433333333333,0.324536666666667,0.0356300000000001,0.951593333333333,0.00363000000000002,0,0.495816666666667,0,0.338433333333333,0,0.08897,0.410286666666667,0.642396666666667,0.0375833333333333,0,0,0.0688033333333333,0,0.0190333333333333,0.0281966666666666,0.26315,0.0458566666666667,0.111133333333333,0.108986666666667,0.0273266666666667,0.312323333333333,0,0,0.00402000000000002,0.2106,0,0.0327366666666666,0.40124,0,0.29206,0.00401333333333331,0.0905899999999999,0,0.13582,0.373473333333333,0,0,0,0,0.166146666666667,0.244543333333333,0.785913333333333,0.00243666666666664,0,0,0.687456666666667,0.598956666666667,0.00124333333333337,0.27467,0,0,0.248776666666667,0.176936666666667,0.0823633333333333,0,0.0982033333333333,0.13571,0.120333333333333,0.0587066666666667,0.317583333333333
"Osteoblast",0,0.0460233333333333,0,0,0,0.127056666666667,0,0.0838266666666667,0,0.122513333333333,0,0,0,0.137376666666667,0.000723333333333298,0.640786666666667,0,0,0,0,0.409733333333333,0,0,1,0.609816666666667,0.0130866666666667,0,1,0,0,0,0.0860866666666666,1,0,0,0,0,0,0,0,0,0,1,0,1,0.00211666666666666,0.118266666666667,0,1,0,1,0,1,0,0,0,0.62913,0.18215,0,1,0,0.187876666666667,0.00053000000000003,0.00370999999999999,0,0.000233333333333308,0.00710333333333335,1,0,0,0.0363733333333334,0,0,0.00761666666666672,1,0,0.00441999999999998,0.135563333333333,0.000946666666666651,0.00119999999999998,0.23104,0,0,0,0,0,0.38084,0.02289,0.02733,0,0,0,0,0,1,0.247673333333333,0,0.379476666666667,0,0,0,0.515123333333333,1,0.247616666666667,0,0.205386666666667
"Myocytes",0.07839,0.147993333333333,0.01259,1,0.953876666666667,0,0.194503333333333,0.90556,0,0.0162766666666667,0.00310333333333335,1,1,0.00350666666666666,0,0.426473333333333,1,0.00310333333333335,0,1,0.0278866666666666,0,0.0455433333333334,0.00302666666666662,0.02528,0,0,1,1,0,0.0834833333333334,0.02742,1,1,1,0.0175166666666666,0.00666,0.0590166666666667,0.0526766666666667,1,0.63544,0.301903333333333,1,0.149286666666667,0.204276666666667,0,0.674,0.0570433333333333,1,1,1,1,1,0.000243333333333373,0.000573333333333315,0.0626266666666667,0.0251533333333334,1,0.0134433333333334,1,0.1839,0.168383333333333,1,1,0.655423333333333,0.90741,0.00646333333333338,1,0.0291333333333333,0.0182233333333334,1,0.0977533333333334,0.0643433333333333,0.440123333333333,0.04788,0.369586666666667,1,1,0.40066,0.0291466666666667,0.0659166666666666,0.619966666666667,0,0.0612633333333333,1,0.00335333333333332,0.01139,0.647313333333333,0.293206666666667,0.147986666666667,1,1,1,0.000706666666666633,0.0567666666666666,1,0.07787,1,0.444023333333333,0.683353333333333,0,0.19768,0.0280266666666666,0.0705066666666667,0.19704,0.0795933333333333
